Time,IR,Red,X,Y,Z,Activity,Heart Rate,Respiration Rate,SPO2,Error Rate,Window Size
24473,101436,108366,-0.178145,0.466379,0.904735,2,65.217,,99.504,,
24514,101649,108828,-0.176143,0.46738,0.902733,2,62.5,,99.556,,
24554,101755,109123,-0.177144,0.466379,0.905736,2,65.217,,99.486,,
24594,101907,109474,-0.178145,0.469381,0.904735,2,60,,99.489,,
24633,102087,109822,-0.178145,0.475386,0.899731,2,36.585,,99.455,,
24673,102204,110173,-0.179146,0.472384,0.901733,2,57.692,,99.427,,
24714,102372,110548,-0.176143,0.470382,0.900732,2,68.182,,99.485,,
24754,102523,110858,-0.179146,0.466379,0.904735,2,68.182,,99.473,,
24794,102632,111136,-0.180146,0.471383,0.895728,2,62.5,,99.389,,
24834,102761,111291,-0.183149,0.483393,0.902733,2,60,,99.518,,
24874,102717,110805,-0.178145,0.470382,0.896729,2,62.5,,99.46,,
24915,102397,110031,-0.178145,0.471383,0.89873,2,57.692,,99.495,,
24955,102115,109476,-0.182148,0.476387,0.902733,2,40.541,,99.449,,
24994,101938,109194,-0.177144,0.470382,0.891725,2,50,,99.539,,
25035,101879,109079,-0.177144,0.471383,0.899731,2,46.875,,99.48,,
25074,101814,108989,-0.180146,0.473385,0.900732,2,60,,99.344,,
25115,101808,108988,-0.180146,0.48039,0.895728,2,60,,99.474,,
25155,101802,108968,-0.181147,0.475386,0.895728,2,62.5,,99.506,,
25194,101757,108828,-0.182148,0.476387,0.899731,2,57.692,,99.394,,
25235,101705,108688,-0.181147,0.481391,0.89873,2,55.556,,99.471,,
25275,101660,108641,-0.182148,0.482392,0.892725,2,62.5,,99.47,,
25315,101689,108686,-0.183149,0.485394,0.893726,2,68.182,,99.441,,
25355,101722,108770,-0.183149,0.484394,0.889723,2,68.182,,99.45,,
25395,101745,108852,-0.187152,0.484394,0.887721,2,65.217,,99.488,,
25531,101840,109130,-0.187152,0.483393,0.889723,2,65.217,,99.432,,
25555,101821,109182,-0.18415,0.493401,0.88572,2,68.182,,99.463,,
25595,101857,109190,-0.186151,0.489398,0.88572,2,68.182,,99.463,,
25636,101900,109247,-0.18515,0.487396,0.886721,2,65.217,,99.412,,
25675,101882,109319,-0.182148,0.488397,0.88572,2,62.5,,99.506,,
25715,101915,109380,-0.18415,0.483393,0.888722,2,68.182,,99.467,,
25755,101928,109475,-0.183149,0.487396,0.88572,2,35.714,,99.403,,
25795,101936,109422,-0.182148,0.488397,0.881716,2,68.182,,99.298,,
25835,101805,108684,-0.183149,0.475386,0.888722,2,7.0755,,98.94,,
25874,101461,107636,-0.183149,0.477388,0.897729,2,71.429,,98.791,,
25916,101039,106797,-0.18415,0.483393,0.901733,2,37.5,,99.147,,
25955,100802,106456,-0.18415,0.47939,0.895728,2,78.947,,99.193,,
25995,100646,106251,-0.182148,0.476387,0.896729,2,68.182,,98.464,,
26035,100621,106243,-0.182148,0.483393,0.89873,2,75,,98.975,,
26075,100714,106419,-0.182148,0.483393,0.893726,2,37.5,,-10000,,
26115,100706,106559,-0.182148,0.476387,0.895728,2,93.75,,99.37,,
26155,100747,106532,-0.183149,0.473385,0.901733,2,75,,99.373,,
26195,100739,106448,-0.182148,0.473385,0.901733,2,93.75,,99.4,,
26235,100716,106479,-0.180146,0.471383,0.901733,2,35.714,,98.347,,
26275,100724,106665,-0.177144,0.469381,0.89873,2,16.854,,99.292,,
26316,100816,106857,-0.181147,0.471383,0.897729,2,57.692,,99.259,,
26355,100844,106945,-0.181147,0.472384,0.901733,2,62.5,,-10000,,
26395,100906,106981,-0.180146,0.469381,0.905736,2,57.692,,99.062,,
26435,100915,107035,-0.181147,0.465378,0.903734,2,62.5,,99.356,,
26475,100947,107115,-0.179146,0.469381,0.902733,2,62.5,,99.511,,
26515,100978,107224,-0.180146,0.463377,0.899731,2,60,,99.547,,
26555,101008,107355,-0.179146,0.465378,0.902733,2,60,,99.401,,
26596,101052,107451,-0.180146,0.464377,0.901733,2,62.5,,99.447,,
26636,101094,107610,-0.177144,0.463377,0.905736,2,60,,99.467,,
26676,101148,107748,-0.174142,0.460374,0.905736,2,57.692,,99.528,,
26715,101235,107924,-0.177144,0.471383,0.899731,2,57.692,,99.471,,
26756,101168,107545,-0.175142,0.465378,0.895728,2,60,,99.522,,
26795,100887,106330,-0.177144,0.451367,0.902733,2,51.724,,99.577,,
26835,100291,104837,-0.178145,0.454369,0.913742,2,55.556,,99.612,,
26876,99746,104045,-0.177144,0.457372,0.912742,2,57.692,,99.631,,
26916,99554,103968,-0.175142,0.456371,0.911741,2,57.692,,99.606,,
26956,99564,103974,-0.171139,0.453368,0.908738,2,44.118,,99.61,,
26996,99592,104111,-0.173141,0.452368,0.906737,2,51.724,,99.573,,
27036,99700,104402,-0.17214,0.452368,0.912742,2,60,,99.521,,
27076,99823,104612,-0.173141,0.453368,0.907738,2,55.556,,99.457,,
27116,99792,104650,-0.171139,0.457372,0.908738,2,34.884,,99.569,,
27156,99800,104640,-0.177144,0.457372,0.908738,2,51.724,,99.592,,
27196,99837,104783,-0.178145,0.456371,0.909739,2,60,,99.547,,
27236,99914,105028,-0.17214,0.454369,0.908738,2,62.5,,99.598,,
27276,100011,105238,-0.17214,0.45537,0.909739,2,60,,99.602,,
27316,100110,105470,-0.173141,0.454369,0.911741,2,57.692,,99.53,,
27356,100222,105702,-0.173141,0.456371,0.908738,2,62.5,,99.445,,
27396,100329,105909,-0.176143,0.456371,0.911741,2,55.556,,99.585,,
27436,100377,106077,-0.174142,0.45537,0.914743,2,51.724,,99.208,,
27477,100431,106184,-0.174142,0.459373,0.913742,2,53.571,,99.352,,
27767,100882,107197,-0.175142,0.464377,0.907738,2,60,,99.375,,
27797,100723,106271,-0.175142,0.444361,0.902733,2,71.429,,99.457,,
27836,100205,104724,-0.177144,0.44336,0.913742,2,60,,99.469,,
27877,99515,103731,-0.178145,0.451367,0.918747,2,35.714,,99.524,,
27917,99351,103684,-0.175142,0.452368,0.909739,2,50,,99.522,,
27957,99364,103754,-0.17214,0.448364,0.912742,2,55.556,,99.552,,
27997,99361,103816,-0.173141,0.45537,0.914743,2,57.692,,99.551,,
28037,99435,104037,-0.173141,0.458372,0.913742,2,55.556,,99.488,,
28077,99599,104320,-0.173141,0.451367,0.91074,2,68.182,,99.484,,
28116,99703,104400,-0.176143,0.450366,0.911741,2,68.182,,99.522,,
28156,99693,104399,-0.173141,0.453368,0.912742,2,31.915,,99.389,,
28196,99690,104505,-0.173141,0.454369,0.914743,2,53.571,,99.193,,
28238,99777,104774,-0.173141,0.452368,0.91074,2,55.556,,99.342,,
28277,99886,105001,-0.17214,0.454369,0.912742,2,53.571,,99.292,,
28317,99972,105242,-0.170138,0.454369,0.909739,2,53.571,,99.451,,
28357,100088,105439,-0.171139,0.458372,0.911741,2,60,,99.189,,
28397,100184,105650,-0.171139,0.456371,0.904735,2,55.556,,99.427,,
28437,100265,105847,-0.17214,0.452368,0.911741,2,48.387,,99.498,,
28477,100321,106002,-0.171139,0.452368,0.909739,2,53.571,,99.39,,
28517,100384,106234,-0.17214,0.45537,0.907738,2,62.5,,99.382,,
28557,100485,106476,-0.170138,0.45537,0.912742,2,53.571,,99.552,,
28598,100567,106691,-0.173141,0.454369,0.909739,2,57.692,,99.522,,
28637,100632,106867,-0.173141,0.456371,0.908738,2,65.217,,99.518,,
28677,100751,107088,-0.171139,0.459373,0.915744,2,71.429,,99.627,,
28717,100796,107322,-0.173141,0.458372,0.908738,2,65.217,,99.509,,
28757,100895,107461,-0.175142,0.464377,0.912742,2,65.217,,99.523,,
28797,100963,107249,-0.174142,0.463377,0.907738,2,57.692,,99.535,,
28837,100705,106232,-0.17214,0.450366,0.906737,2,60,,99.494,,
28877,100124,104823,-0.174142,0.457372,0.908738,2,60,,99.506,,
28918,99583,104092,-0.178145,0.465378,0.913742,2,62.5,,99.497,,
28958,99506,104082,-0.179146,0.457372,0.904735,2,53.571,,99.485,,
28997,99565,104186,-0.175142,0.453368,0.903734,2,57.692,,99.526,,
29037,99619,104354,-0.175142,0.46738,0.908738,2,53.571,,99.465,,
29077,99719,104584,-0.177144,0.461375,0.911741,2,60,,99.442,,
29118,99749,104677,-0.174142,0.460374,0.906737,2,55.556,,99.429,,
29158,99764,104675,-0.176143,0.468381,0.909739,2,60,,99.408,,
29198,99766,104706,-0.176143,0.466379,0.89873,2,62.5,,99.503,,
29238,99812,104786,-0.179146,0.46738,0.900732,2,60,,99.506,,
29277,99876,105034,-0.175142,0.470382,0.901733,2,60,,99.486,,
29318,100001,105340,-0.175142,0.470382,0.897729,2,60,,99.54,,
29358,100101,105557,-0.181147,0.476387,0.902733,2,60,,99.555,,
29398,100179,105785,-0.179146,0.476387,0.899731,2,55.556,,-10000,,
29438,100293,105974,-0.179146,0.475386,0.894727,2,71.429,,99.492,,
29478,100344,106092,-0.178145,0.471383,0.899731,2,65.217,,99.336,,
29518,100404,106207,-0.181147,0.472384,0.903734,2,65.217,,99.504,,
29559,100459,106364,-0.179146,0.472384,0.901733,2,71.429,,99.508,,
29599,100494,106431,-0.179146,0.471383,0.897729,2,53.571,,99.538,,
29639,100554,106560,-0.179146,0.470382,0.903734,2,35.714,,99.322,,
29679,100609,106709,-0.178145,0.471383,0.897729,2,41.667,,99.145,,
29718,100710,106871,-0.182148,0.472384,0.903734,2,51.724,,,,
32223,100169,105471,-0.178145,0.464377,0.902733,2,60,,,,
32261,100212,105470,-0.176143,0.462376,0.900732,2,60,,,,
32301,100221,105516,-0.177144,0.471383,0.902733,2,62.5,,,,
32340,100230,105560,-0.179146,0.470382,0.900732,2,37.5,,,,
32380,100294,105789,-0.183149,0.468381,0.900732,2,21.127,,,,
32420,100416,106098,-0.178145,0.468381,0.903734,2,65.217,,,,
32460,100513,106412,-0.180146,0.472384,0.89873,2,55.556,,,,
32501,100577,106579,-0.183149,0.474385,0.897729,2,55.556,,,,
32541,100632,106736,-0.181147,0.473385,0.894727,2,57.692,,,,
32581,100743,106935,-0.178145,0.474385,0.895728,2,51.724,,,,
32621,100840,107151,-0.176143,0.475386,0.897729,2,57.692,,,,
32661,100909,107369,-0.181147,0.473385,0.900732,2,60,,,,
32701,101018,107619,-0.182148,0.476387,0.897729,2,71.429,,,,
32741,101100,107774,-0.182148,0.476387,0.891725,2,62.5,,,,
32780,101180,107969,-0.180146,0.477388,0.897729,2,53.571,,,,
32822,101265,108222,-0.181147,0.475386,0.896729,2,60,,,,
32861,101332,108423,-0.181147,0.471383,0.895728,2,53.571,,,,
32900,101414,108586,-0.181147,0.481391,0.894727,2,57.692,,,,
32941,101483,108684,-0.179146,0.482392,0.892725,2,57.692,,,,
32981,101416,108171,-0.178145,0.470382,0.891725,2,55.556,,,,
33021,101077,107152,-0.18515,0.470382,0.904735,2,34.091,,,,
33061,100703,106201,-0.180146,0.475386,0.904735,2,55.556,,,,
33101,100406,105672,-0.178145,0.468381,0.899731,2,46.875,,,,
33142,100289,105582,-0.177144,0.471383,0.902733,2,62.5,,,,
33181,100258,105728,-0.176143,0.474385,0.903734,2,62.5,,,,
33221,100363,105998,-0.178145,0.474385,0.903734,2,57.692,,,,
33261,100466,106101,-0.177144,0.470382,0.902733,2,60,,,,
33301,100476,105962,-0.176143,0.468381,0.900732,2,55.556,,,,
33341,100412,105796,-0.178145,0.468381,0.905736,2,60,,,,
33382,100347,105826,-0.179146,0.46738,0.900732,2,62.5,,,,
33422,100410,105956,-0.175142,0.463377,0.905736,2,65.217,,,,
33462,100486,106218,-0.175142,0.464377,0.907738,2,78.947,,,,
33502,100576,106378,-0.177144,0.464377,0.904735,2,51.724,,,,
33541,100664,106568,-0.174142,0.464377,0.906737,2,41.667,,,,
33581,100746,106778,-0.174142,0.465378,0.906737,2,55.556,,,,
33621,100826,106956,-0.174142,0.465378,0.903734,2,38.462,,,,
33661,100909,107139,-0.174142,0.459373,0.908738,2,37.5,,,,
33701,100979,107283,-0.176143,0.457372,0.906737,2,68.182,,,,
33741,101023,107387,-0.178145,0.459373,0.909739,2,68.182,,,,
33782,101067,107544,-0.177144,0.460374,0.905736,2,51.724,,,,
33821,101149,107721,-0.175142,0.460374,0.905736,2,88.235,,,,
33861,101205,107901,-0.176143,0.460374,0.908738,2,51.724,,,,
33902,101226,108082,-0.176143,0.458372,0.909739,2,65.217,,,,
33942,101305,108264,-0.174142,0.459373,0.908738,2,65.217,,,,
33982,101380,108361,-0.174142,0.46738,0.908738,2,68.182,,,,
34023,101374,107926,-0.175142,0.450366,0.896729,2,68.182,,,,
34063,101066,106813,-0.176143,0.448364,0.905736,2,38.462,,,,
34103,100548,105430,-0.180146,0.45537,0.913742,2,62.5,,,,
34143,100050,104621,-0.177144,0.456371,0.912742,2,78.947,,,,
34182,99906,104581,-0.171139,0.450366,0.909739,2,65.217,,,,
34349,100167,105251,-0.170138,0.452368,0.905736,2,62.5,,,,
34382,100144,105247,-0.170138,0.448364,0.912742,2,62.5,,,,
34423,100190,105299,-0.174142,0.45537,0.912742,2,65.217,,,,
34463,100279,105532,-0.175142,0.453368,0.904735,2,62.5,,,,
34502,100376,105766,-0.171139,0.453368,0.909739,2,38.462,,,,
34542,100477,106028,-0.171139,0.452368,0.909739,2,57.692,,,,
34582,100570,106244,-0.176143,0.452368,0.915744,2,36.585,,,,
34622,100667,106513,-0.176143,0.452368,0.914743,2,57.692,,,,
34663,100724,106735,-0.17214,0.45537,0.909739,2,62.5,,,,
34703,100772,106873,-0.17214,0.45537,0.915744,2,88.235,,,,
34743,100843,106986,-0.170138,0.456371,0.917746,2,68.182,,,,
34783,100912,107111,-0.170138,0.454369,0.913742,2,41.667,,,,
34822,100983,107284,-0.171139,0.454369,0.912742,2,51.724,,,,
34863,101025,107443,-0.175142,0.454369,0.912742,2,57.692,,,,
34903,101121,107625,-0.176143,0.453368,0.907738,2,62.5,,,,
34943,101207,107832,-0.175142,0.456371,0.907738,2,60,,,,
34982,101280,107987,-0.174142,0.456371,0.91074,2,68.182,,,,
35022,101332,108210,-0.178145,0.453368,0.91074,2,57.692,,,,
35063,101426,108378,-0.176143,0.468381,0.902733,2,60,,,,
35103,101455,108165,-0.171139,0.451367,0.902733,2,65.217,,,,
35143,101165,107260,-0.173141,0.447364,0.916745,2,60,,,,
35183,100698,105992,-0.175142,0.461375,0.917746,2,62.5,,,,
35223,100265,105100,-0.174142,0.456371,0.91074,2,75,,,,
35263,100033,104911,-0.173141,0.452368,0.904735,2,62.5,,,,
35303,100032,105005,-0.175142,0.457372,0.907738,2,62.5,,,,
35343,100111,105186,-0.17214,0.465378,0.906737,2,65.217,,,,
35383,100256,105451,-0.176143,0.468381,0.901733,2,60,,,,
35423,100320,105586,-0.170138,0.463377,0.901733,2,65.217,,,,
35463,100322,105667,-0.175142,0.464377,0.899731,2,68.182,,,,
35503,100328,105710,-0.175142,0.468381,0.901733,2,36.585,,,,
35543,100385,105884,-0.179146,0.463377,0.902733,2,55.556,,,,
35584,100482,106138,-0.179146,0.463377,0.897729,2,75,,,,
35624,100565,106366,-0.181147,0.470382,0.893726,2,71.429,,,,
35664,100677,106603,-0.177144,0.468381,0.897729,2,60,,,,
35704,100790,106899,-0.180146,0.469381,0.899731,2,65.217,,,,
35743,100914,107168,-0.175142,0.470382,0.894727,2,65.217,,,,
35784,100950,107396,-0.177144,0.468381,0.897729,2,60,,,,
35824,101018,107558,-0.177144,0.471383,0.895728,2,136.36,,,,
35864,101121,107715,-0.179146,0.475386,0.899731,2,48.387,,,,
35903,101210,107872,-0.181147,0.470382,0.900732,2,29.412,,,,
35943,101260,108020,-0.182148,0.474385,0.897729,2,33.333,,,,
35983,101316,108157,-0.180146,0.471383,0.899731,2,62.5,,,,
36023,101357,108281,-0.182148,0.472384,0.897729,2,41.667,,,,
36064,101411,108498,-0.178145,0.476387,0.897729,2,53.571,,,,
36104,101460,108598,-0.177144,0.48039,0.893726,2,51.724,,,,
36144,101467,108355,-0.174142,0.463377,0.895728,2,57.692,,,,
36184,101220,107394,-0.180146,0.46738,0.906737,2,51.724,,,,
36224,100785,106348,-0.181147,0.473385,0.903734,2,65.217,,,,
36264,100430,105565,-0.178145,0.475386,0.895728,2,48.387,,,,
36304,100186,105199,-0.176143,0.469381,0.897729,2,57.692,,,,
36433,100313,105713,-0.181147,0.474385,0.900732,2,57.692,,,,
36464,100397,105765,-0.181147,0.470382,0.89873,2,55.556,,,,
36504,100344,105711,-0.182148,0.472384,0.894727,2,53.571,,,,
36545,100332,105716,-0.180146,0.470382,0.893726,2,57.692,,,,
36584,100399,105855,-0.179146,0.470382,0.900732,2,62.5,,,,
36624,100462,106042,-0.181147,0.471383,0.900732,2,34.091,,,,
36665,100536,106256,-0.182148,0.470382,0.899731,2,60,,,,
36707,100638,106535,-0.179146,0.472384,0.893726,2,60,,,,
36744,100738,106735,-0.181147,0.470382,0.899731,2,55.556,,,,
